Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
6aac11a66d1f61cd1093403a,Week 1 - Confirm Scope and Workflow,https://trello.com/c/0AMGkmD8/76-week-1-confirm-scope-and-workflow,"Status: Complete
Owners: All members
Deliverable: Agreed project scope, New England coverage, MVP boundaries, repository workflow, and Trello workflow.",,,,0,,4,4,0,0,2026-09-18T04:44:14.222Z,6aac11651b02c7f9caff430b,Done,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,true,
6aac11b1436196ac2be94155,Week 2 - Requirements and Source Plan,https://trello.com/c/CUAxd0CF/77-week-2-requirements-and-source-plan,"Status: Complete
Owners: All members
Deliverable: User stories, acceptance criteria, data inventory, source plan, and initial career-tool requirements.",,,,0,,4,4,0,0,2026-09-18T04:44:14.228Z,6aac11651b02c7f9caff430b,Done,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,true,
6aac11b34b09e20faeea888f,Week 3 - Architecture and Design,https://trello.com/c/KNUGyAGD/78-week-3-architecture-and-design,"Status: Current Week
Brady: ERD and database schema.
Chris: Django and page architecture.
Kyle: Service and API contracts.
Deliverable: Approved system design ready for implementation.",,,,0,,4,4,0,0,2026-09-18T04:44:14.228Z,6aac11651b02c7f9caff430b,Done,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,true,
6aac11b58aa5eac09e417e25,Week 4 - Import and API Prototypes,https://trello.com/c/zuXzp7Ix/63-week-4-import-and-api-prototypes,"Brady: College Scorecard import prototype.
Chris: Base page layout and navigation prototype.
Kyle: O*NET and job-source prototypes.",,,,0,,4,0,0,0,2026-09-18T04:43:46.411Z,6aac1160de8caf5a6263bdd6,Product Backlog,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,false,
6aac11b7ee4ec072830a296f,Week 5 - Database Foundation,https://trello.com/c/wNDkHsLG/64-week-5-database-foundation,"Brady leads models, migrations, constraints, cleaning, and sample data. Kyle reviews validation and tests. Chris builds the search-interface prototype.",,,,0,,5,0,0,0,2026-09-18T04:46:38.733Z,6aac1160de8caf5a6263bdd6,Product Backlog,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,false,
6aac11b8f8bd363d9d0da6e7,Week 6 - Django Foundation,https://trello.com/c/OGcDXqmM/75-week-6-django-foundation,"Chris leads authentication, URLs, templates, navigation, and shared layout. Brady supports the query layer. Kyle builds services and permissions.",,,,0,,4,0,0,0,2026-09-18T04:43:46.412Z,6aac1160de8caf5a6263bdd6,Product Backlog,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,false,
6aac11bad825e7eac3017a68,Week 7 - College and Program Explorer,https://trello.com/c/q8gw3wLH/74-week-7-college-and-program-explorer,"Build college/program search, filters, detail pages, comparison queries, and source attribution.",,,,0,,4,0,0,0,2026-09-18T04:43:46.412Z,6aac1160de8caf5a6263bdd6,Product Backlog,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,false,
6aac11bbf3d82d175240f9ce,Week 8 - Trends and Dashboards,https://trello.com/c/5Ch8mtKd/73-week-8-trends-and-dashboards,"Build trend calculations, charts, dashboards, threshold rules, missing-data behavior, and analytics tests.",,,,0,,4,0,0,0,2026-09-18T04:43:46.404Z,6aac1160de8caf5a6263bdd6,Product Backlog,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,false,
6aac11bdba0f6fb7e4d4acf6,Week 9 - Career Explorer and Job Finder,https://trello.com/c/hVoj1pma/72-week-9-career-explorer-and-job-finder,"Build occupation search, program-to-career mapping, job search, original-posting links, saved jobs, and application statuses.",,,,0,,4,0,0,0,2026-09-18T04:43:46.404Z,6aac1160de8caf5a6263bdd6,Product Backlog,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,false,
6aac11be00d5e6ad71a27a79,Week 10 - Resume Builder,https://trello.com/c/9pxGr44O/71-week-10-resume-builder,"Build resume sections, forms, editing, reordering, preview, privacy controls, and export.",,,,0,,5,0,0,0,2026-09-18T04:46:58.111Z,6aac1160de8caf5a6263bdd6,Product Backlog,6aa98a8a98b68e9237036e5c,College scoring and course analytics system,false,,false,
